Crop,Disease,Temperature(C),Humidity(%),Rainfall(mm),Soil_pH,Soil_Moisture(%),Leaf_Spots,Wilting
Onion,Purple Blotch,18.0,44,26,5.9,25,1,1
Rice,Brown Spot,30.3,70,199,6.3,33,1,0
Maize,Downy Mildew,41.0,62,372,5.5,16,1,1
Soybean,Bacterial Blight,20.9,59,237,5.5,67,1,0
Wheat,Smut,36.7,73,231,5.1,18,1,1
Onion,Purple Blotch,28.1,80,134,4.9,12,0,1
Rice,Bacterial Leaf Blight,44.2,49,2,8.1,21,1,1
Cotton,Leaf Curl Virus,27.2,85,119,7.0,67,0,1
Maize,Downy Mildew,15.9,84,278,7.8,71,1,0
Chilli,Healthy,40.2,45,110,6.6,25,0,0
Mango,Healthy,38.6,81,385,7.6,12,1,0
Groundnut,Healthy,28.8,34,327,6.0,46,0,0
Wheat,Smut,28.2,73,68,5.4,87,1,0
Rice,Brown Spot,39.7,42,1,7.8,54,1,1
Potato,Late Blight,34.2,48,302,6.2,59,1,1
Soybean,Rust,22.8,40,276,6.6,26,1,0
Soybean,Rust,15.5,79,357,8.0,50,1,1
Grapes,Downy Mildew,35.3,54,120,5.4,65,1,1
Potato,Late Blight,44.4,78,199,8.1,56,1,1
Banana,Panama Disease,16.4,43,118,6.0,25,0,1
Apple,Fire Blight,17.4,81,178,5.5,52,1,1
Cotton,Healthy,22.3,45,388,6.1,88,0,0
Banana,Sigatoka,43.1,91,124,5.0,70,1,0
Onion,Downy Mildew,37.4,91,322,5.7,35,1,1
Sugarcane,Smut,28.1,36,176,5.7,79,0,1
Potato,Late Blight,38.9,47,30,6.0,61,1,1
Chilli,Healthy,41.2,81,45,7.3,69,0,0
Cotton,Healthy,40.0,94,141,6.0,63,1,0
Tomato,Healthy,32.6,82,139,5.5,24,1,0
Mango,Anthracnose,32.6,60,66,7.8,71,1,0
Sugarcane,Smut,24.7,32,396,6.2,50,0,1
Groundnut,Rust,28.1,84,332,6.9,29,1,1
Cotton,Leaf Curl Virus,25.2,81,195,7.3,68,1,1
Groundnut,Rust,36.0,85,184,6.4,55,0,1
Maize,Downy Mildew,27.8,45,3,6.9,27,1,1
Apple,Fire Blight,27.4,45,229,8.0,25,1,0
Onion,Purple Blotch,43.0,40,295,6.3,72,0,1
Groundnut,Rust,20.4,73,164,5.0,11,1,1
Banana,Healthy,32.5,30,8,6.0,44,1,0
Tomato,Healthy,32.2,60,33,8.2,27,0,0
Cotton,Leaf Curl Virus,25.1,73,127,6.6,58,0,1
Soybean,Healthy,44.6,56,108,5.8,30,0,0
Banana,Sigatoka,43.7,63,115,7.3,79,0,1
Onion,Healthy,30.9,92,166,5.0,57,1,0
Grapes,Powdery Mildew,36.1,69,384,6.1,59,1,1
Banana,Panama Disease,41.6,33,103,6.1,48,1,1
Onion,Healthy,32.5,34,389,6.5,65,0,1
Banana,Panama Disease,42.6,65,395,7.1,39,0,0
Onion,Healthy,44.6,89,98,5.2,87,0,0
Onion,Purple Blotch,19.7,49,320,5.8,26,1,1
Apple,Apple Scab,43.2,94,50,6.4,59,1,1
Apple,Fire Blight,15.3,35,122,6.9,37,1,1
Groundnut,Healthy,29.5,32,124,4.9,35,0,0
Sugarcane,Red Rot,36.9,68,19,6.0,15,1,1
Soybean,Bacterial Blight,29.4,46,163,5.3,71,1,0
Chilli,Healthy,16.8,49,392,8.0,55,0,0
Onion,Downy Mildew,23.1,77,115,7.7,36,0,0
Cotton,Boll Rot,41.7,79,254,6.4,35,1,0
Chilli,Anthracnose,39.7,53,159,7.1,70,1,1
Onion,Purple Blotch,31.2,86,42,5.1,84,1,0
Rice,Bacterial Leaf Blight,34.5,30,20,5.2,61,1,1
Tomato,Healthy,27.1,33,118,5.1,35,0,0
Onion,Healthy,30.6,87,64,6.2,49,1,0
Onion,Healthy,32.6,50,60,5.0,78,0,0
Tomato,Septoria Leaf Spot,41.9,45,326,7.3,21,1,1
Rice,Bacterial Leaf Blight,21.1,55,49,5.1,35,1,0
Groundnut,Healthy,30.0,51,129,6.7,32,0,0
Onion,Downy Mildew,40.4,40,243,5.4,61,1,1
Tomato,Septoria Leaf Spot,44.0,61,120,5.8,52,1,1
Sugarcane,Red Rot,17.1,74,151,4.9,59,1,0
Groundnut,Tikka Disease,15.3,68,87,7.0,51,0,1
Rice,Bacterial Leaf Blight,16.8,92,16,5.2,52,1,1
Chilli,Healthy,20.6,85,349,7.5,51,1,0
Tomato,Late Blight,40.6,46,130,4.9,79,1,1
Wheat,Powdery Mildew,23.2,46,133,7.8,68,1,1
Wheat,Powdery Mildew,31.0,50,116,6.4,28,1,1
Mango,Healthy,39.6,35,265,6.3,82,0,0
Cotton,Healthy,30.5,82,140,6.9,61,0,0
Chilli,Anthracnose,41.7,47,204,5.9,71,0,0
Grapes,Healthy,25.3,91,160,7.7,86,0,0
Potato,Healthy,34.4,35,366,4.9,60,0,0
Potato,Early Blight,15.8,63,132,7.0,79,1,1
Banana,Healthy,27.6,93,5,6.0,50,0,0
Groundnut,Rust,41.2,88,28,6.7,16,1,1
Chilli,Anthracnose,41.8,78,126,5.5,70,1,0
Cotton,Boll Rot,19.1,84,114,7.7,34,1,1
Banana,Sigatoka,34.3,58,70,5.8,16,0,1
Grapes,Downy Mildew,20.6,78,377,6.4,39,0,1
Apple,Fire Blight,28.0,65,383,6.7,35,1,1
Grapes,Powdery Mildew,20.1,92,28,4.9,72,1,1
Apple,Healthy,30.4,39,126,7.5,29,0,0
Groundnut,Tikka Disease,15.9,53,21,5.9,50,1,1
Rice,Healthy,38.2,44,64,7.7,89,0,0
Groundnut,Rust,25.2,60,39,5.6,66,1,0
Soybean,Rust,17.0,49,68,6.6,43,0,1
Rice,Healthy,27.2,70,6,7.5,16,0,0
Sugarcane,Smut,39.1,31,392,7.1,90,1,1
Mango,Healthy,43.6,62,138,5.7,45,1,0
Cotton,Healthy,38.3,64,188,7.5,56,0,1
Onion,Healthy,30.5,77,365,6.3,31,0,0
Tomato,Septoria Leaf Spot,27.1,90,136,7.7,20,1,1
Potato,Healthy,31.4,60,229,6.9,78,0,0
Cotton,Leaf Curl Virus,26.4,74,129,7.9,17,1,1
Rice,Healthy,42.9,31,104,7.5,68,0,0
Cotton,Healthy,36.0,86,232,8.1,48,0,0
Wheat,Healthy,23.5,47,179,5.5,45,0,0
Soybean,Healthy,42.1,32,264,8.1,27,0,0
Grapes,Downy Mildew,35.1,91,211,7.5,33,0,1
Tomato,Early Blight,17.2,83,247,6.3,44,1,1
Cotton,Leaf Curl Virus,22.0,95,218,7.5,18,0,1
Maize,Leaf Blight,27.8,46,125,6.3,35,1,0
Rice,Bacterial Leaf Blight,31.8,36,288,6.0,85,1,0
Soybean,Bacterial Blight,27.3,78,201,4.9,30,1,0
Soybean,Rust,32.2,62,135,6.1,19,1,1
Soybean,Bacterial Blight,15.8,86,374,6.0,42,1,0
Groundnut,Tikka Disease,35.1,60,120,5.3,25,0,1
Soybean,Rust,34.0,72,10,5.1,51,1,0
Cotton,Leaf Curl Virus,36.5,36,68,7.5,23,1,0
Cotton,Healthy,25.5,90,83,6.7,41,0,0
Apple,Fire Blight,28.0,43,393,5.5,45,1,0
Soybean,Healthy,18.9,94,306,4.8,65,0,0
Wheat,Smut,39.3,80,153,8.0,13,0,1
Grapes,Powdery Mildew,27.1,75,12,6.9,20,1,1
Soybean,Rust,21.2,42,29,8.0,27,1,1
Mango,Anthracnose,24.4,92,258,6.8,60,1,1
Soybean,Rust,42.9,51,235,8.0,74,1,0
Chilli,Healthy,33.2,35,61,6.9,35,0,0
Tomato,Septoria Leaf Spot,42.0,36,86,7.7,31,1,1
Sugarcane,Smut,41.5,93,89,6.3,30,0,0
Onion,Purple Blotch,40.3,36,329,5.4,24,1,1
Onion,Downy Mildew,33.3,44,99,7.0,16,1,1
Rice,Blast,30.8,63,260,7.8,30,0,1
Rice,Healthy,28.2,62,27,7.2,27,0,0
Groundnut,Rust,41.2,35,196,5.7,29,1,0
Mango,Healthy,41.6,43,155,6.1,33,0,0
Soybean,Rust,40.7,39,248,6.4,65,0,0
Maize,Leaf Blight,20.3,83,237,5.8,77,1,0
Sugarcane,Red Rot,20.3,58,150,5.1,35,1,1
Cotton,Healthy,32.4,52,134,5.9,57,0,0
Groundnut,Tikka Disease,15.8,59,264,5.8,52,1,1
Chilli,Anthracnose,36.6,34,136,7.6,53,1,0
Mango,Anthracnose,41.3,74,188,7.7,75,1,1
Mango,Powdery Mildew,36.6,32,17,6.7,49,1,1
Sugarcane,Red Rot,36.1,53,337,7.3,84,0,1
Onion,Purple Blotch,30.3,68,205,6.9,13,0,1
Wheat,Healthy,24.8,39,304,5.4,21,0,0
Cotton,Healthy,21.6,37,315,7.7,48,0,0
Wheat,Smut,41.8,70,5,6.0,48,1,0
Tomato,Early Blight,17.2,86,243,6.3,63,0,1
Wheat,Smut,37.0,63,155,5.3,22,0,0
Cotton,Boll Rot,44.7,60,367,8.0,83,1,1
Grapes,Healthy,39.0,70,121,5.5,31,1,0
Cotton,Leaf Curl Virus,17.9,84,202,7.8,24,0,0
Sugarcane,Smut,21.9,64,44,7.8,19,1,1
Wheat,Rust,17.3,83,339,6.4,10,1,0
Groundnut,Rust,31.4,48,51,7.6,79,1,1
Wheat,Rust,43.2,47,125,5.4,41,1,0
Apple,Healthy,29.9,50,136,7.2,37,0,0
Onion,Downy Mildew,43.7,31,297,5.9,45,0,0
Cotton,Healthy,15.3,95,120,8.0,69,0,0
Wheat,Smut,16.0,58,311,5.5,11,1,0
Sugarcane,Healthy,41.4,42,356,8.1,85,0,1
Onion,Downy Mildew,20.9,90,32,6.4,34,1,1
Grapes,Downy Mildew,38.1,92,199,6.0,70,0,1
Wheat,Smut,20.0,43,173,7.3,36,1,1
Wheat,Smut,15.5,82,108,5.5,13,1,0
Chilli,Healthy,42.7,51,281,6.5,26,0,0
Sugarcane,Healthy,20.3,62,310,5.7,27,0,0
Mango,Powdery Mildew,40.1,65,331,6.4,46,1,0
Groundnut,Tikka Disease,36.0,85,280,5.8,12,0,0
Grapes,Downy Mildew,36.8,30,102,6.6,32,0,0
Banana,Panama Disease,44.9,78,379,6.3,48,0,0
Banana,Healthy,39.9,38,284,7.6,32,0,0
Groundnut,Healthy,38.0,69,191,7.5,37,0,0
Cotton,Leaf Curl Virus,38.8,94,30,5.8,73,0,0
Banana,Panama Disease,30.1,91,268,6.2,35,0,1
Apple,Fire Blight,41.2,37,205,5.7,26,1,0
Chilli,Healthy,30.7,78,174,5.1,28,0,0
Apple,Apple Scab,33.7,67,105,5.6,25,1,1
Soybean,Healthy,38.0,91,208,5.6,66,0,0
Mango,Healthy,41.8,74,298,7.4,86,0,0
Cotton,Leaf Curl Virus,32.4,48,234,4.9,60,0,1
Soybean,Healthy,17.9,49,278,6.3,76,1,1
Onion,Purple Blotch,27.7,51,244,4.9,60,0,1
Onion,Downy Mildew,36.0,61,147,6.6,82,1,0
Mango,Healthy,39.8,68,59,7.2,73,0,0
Cotton,Healthy,37.0,40,362,7.0,62,0,0
Soybean,Rust,44.2,59,302,6.2,50,1,0
Cotton,Leaf Curl Virus,29.1,36,82,8.0,35,1,1
Potato,Early Blight,24.8,44,239,8.0,33,1,1
Grapes,Powdery Mildew,43.5,94,170,7.1,48,0,0
Potato,Early Blight,25.4,85,262,6.6,63,1,1
Sugarcane,Red Rot,36.9,78,284,5.8,28,0,0
Groundnut,Tikka Disease,29.8,88,313,5.0,61,1,1
Grapes,Healthy,35.6,46,61,5.8,14,0,0
Rice,Blast,36.9,55,53,7.1,14,1,1
Cotton,Leaf Curl Virus,39.5,74,114,5.9,11,0,0
Maize,Downy Mildew,32.6,42,97,6.1,77,1,1
Rice,Blast,25.2,41,324,7.6,87,1,1
Potato,Healthy,23.6,80,133,5.9,16,0,0
Soybean,Bacterial Blight,37.8,87,256,5.0,44,1,0
Sugarcane,Healthy,31.2,67,195,7.3,31,0,0
Banana,Healthy,16.7,46,179,7.6,24,0,0
Sugarcane,Healthy,24.5,61,336,6.1,63,0,1
Sugarcane,Healthy,26.3,34,154,7.3,84,0,0
Cotton,Leaf Curl Virus,44.9,59,359,6.6,79,0,1
Banana,Healthy,41.9,35,50,5.4,15,0,0
Tomato,Early Blight,21.3,74,76,6.0,36,0,1
Tomato,Healthy,24.1,33,32,4.9,85,0,0
Grapes,Downy Mildew,24.2,80,374,7.3,49,0,0
Onion,Purple Blotch,26.9,50,145,6.7,77,1,0
Chilli,Healthy,34.0,75,374,7.6,27,0,0
Banana,Sigatoka,27.7,32,354,8.0,46,0,1
Tomato,Septoria Leaf Spot,27.6,74,61,5.1,22,1,0
Grapes,Downy Mildew,43.0,76,347,5.3,29,1,1
Groundnut,Tikka Disease,16.2,73,305,5.3,86,1,0
Cotton,Leaf Curl Virus,27.0,67,89,5.5,51,1,0
Grapes,Healthy,35.0,75,152,6.2,72,0,0
Apple,Healthy,23.8,90,395,8.0,37,0,1
Rice,Brown Spot,34.5,69,234,7.9,11,0,1
Grapes,Healthy,44.5,33,397,6.6,13,0,1
Chilli,Healthy,44.6,52,260,5.2,47,0,0
Chilli,Leaf Curl,29.0,38,229,6.5,49,1,1
Rice,Blast,35.8,90,328,5.1,67,1,1
Sugarcane,Smut,34.9,52,160,5.2,67,1,1
Apple,Fire Blight,17.4,55,396,6.7,72,1,1
Onion,Healthy,31.9,30,122,8.0,36,1,0
Cotton,Healthy,31.6,54,73,6.2,19,0,1
Potato,Late Blight,21.6,80,0,5.8,70,1,0
Groundnut,Tikka Disease,16.3,38,298,6.0,31,0,1
Banana,Panama Disease,24.1,52,227,6.8,38,0,1
Maize,Healthy,22.6,37,130,5.6,78,0,0
Potato,Healthy,21.9,56,55,6.2,63,0,0
Groundnut,Tikka Disease,29.7,64,33,6.7,24,1,0
Rice,Bacterial Leaf Blight,29.8,68,256,8.1,47,0,1
Grapes,Powdery Mildew,28.2,67,191,5.4,39,1,1
Soybean,Rust,22.8,95,47,6.2,46,1,0
Tomato,Septoria Leaf Spot,15.6,68,291,5.2,43,1,1
Grapes,Powdery Mildew,22.2,95,195,5.6,14,1,0
Rice,Blast,41.9,33,81,6.8,53,0,0
Tomato,Early Blight,32.3,74,220,7.1,58,1,1
Maize,Healthy,32.1,60,386,7.2,13,0,0
Soybean,Healthy,19.9,34,182,8.0,82,0,0
Onion,Healthy,17.7,57,16,7.3,77,1,0
Grapes,Healthy,34.0,80,327,7.1,31,0,0
Onion,Healthy,25.1,92,392,7.5,52,1,0
Tomato,Healthy,34.3,38,303,6.3,20,0,0
Cotton,Leaf Curl Virus,17.7,89,235,6.7,12,1,1
Onion,Purple Blotch,33.4,37,350,8.1,16,1,0
Sugarcane,Healthy,16.2,58,12,8.2,38,1,0
Cotton,Leaf Curl Virus,21.1,44,400,7.9,81,0,1
Rice,Bacterial Leaf Blight,41.1,56,113,6.3,24,1,1
Mango,Anthracnose,26.7,35,81,7.7,41,0,1
Apple,Apple Scab,38.0,39,169,7.1,26,1,1
Apple,Healthy,42.4,60,361,5.6,17,0,0
Sugarcane,Healthy,35.8,48,356,7.9,87,0,1
Rice,Brown Spot,15.9,66,315,7.9,36,0,0
Chilli,Healthy,20.2,74,211,5.7,28,0,0
Wheat,Smut,20.1,60,142,7.3,12,0,1
Chilli,Healthy,36.1,88,251,7.5,60,0,0
Rice,Bacterial Leaf Blight,39.6,32,153,7.1,65,1,1
Groundnut,Healthy,29.2,86,100,5.6,42,0,0
Groundnut,Rust,35.7,87,271,7.8,48,1,1
Potato,Late Blight,25.3,70,364,7.3,75,1,0
Potato,Healthy,37.2,52,38,7.9,20,0,0
Maize,Leaf Blight,24.6,64,266,4.9,61,1,0
Onion,Purple Blotch,43.0,93,239,6.1,11,1,0
Apple,Healthy,42.7,78,221,5.2,56,0,0
Mango,Anthracnose,26.8,38,38,7.8,12,1,1
Sugarcane,Healthy,27.7,81,29,7.1,49,1,1
Wheat,Smut,39.8,80,320,6.9,62,0,0
Soybean,Rust,30.3,62,159,8.1,75,1,0
Cotton,Healthy,24.3,43,20,5.6,35,0,0
Wheat,Smut,37.1,95,308,7.3,50,1,0
Tomato,Healthy,43.0,35,360,5.3,10,0,0
Soybean,Bacterial Blight,42.9,36,24,7.5,16,1,1
Tomato,Septoria Leaf Spot,36.8,40,324,7.2,63,1,1
Wheat,Smut,32.9,41,61,6.7,25,1,1
Apple,Healthy,41.2,68,48,7.2,82,0,0
Wheat,Smut,40.5,67,354,6.0,89,1,0
Tomato,Healthy,17.6,83,399,5.8,81,1,0
Maize,Healthy,36.5,62,123,5.2,80,0,0
Soybean,Rust,41.8,81,344,7.0,21,1,0
Maize,Healthy,42.6,77,34,7.0,10,0,1
Cotton,Healthy,29.1,40,12,6.3,18,0,0
Grapes,Downy Mildew,23.0,79,384,5.2,62,1,0
Rice,Healthy,19.0,78,209,8.1,21,0,0
Groundnut,Tikka Disease,35.7,43,398,8.0,64,0,1
Apple,Apple Scab,32.2,62,237,5.5,88,1,1
Rice,Blast,29.7,36,85,6.2,85,1,0
Wheat,Rust,30.2,87,342,6.3,66,0,0
Banana,Healthy,32.9,49,229,6.3,20,0,0
Potato,Early Blight,30.1,56,236,7.6,63,0,1
Chilli,Anthracnose,16.4,81,82,7.9,33,1,1
Rice,Brown Spot,20.2,37,92,6.3,36,0,1
Potato,Early Blight,37.5,51,2,5.2,35,1,1
Tomato,Early Blight,22.7,56,292,6.5,52,0,1
Banana,Panama Disease,19.3,78,373,8.0,49,0,1
Maize,Downy Mildew,26.6,80,350,6.9,27,0,1
Sugarcane,Smut,17.4,64,307,7.3,21,0,1
Maize,Healthy,23.2,30,161,6.8,67,0,1
Onion,Purple Blotch,42.9,70,230,5.5,30,1,1
Wheat,Powdery Mildew,21.5,70,178,7.2,13,0,0
Wheat,Rust,39.9,89,318,6.9,79,1,1
Rice,Bacterial Leaf Blight,34.2,62,142,6.6,27,1,1
Sugarcane,Red Rot,36.3,75,257,6.3,66,1,0
Mango,Anthracnose,40.0,85,295,6.8,12,1,1
Potato,Late Blight,25.1,46,230,8.1,28,0,1
Groundnut,Tikka Disease,36.4,86,166,5.0,31,1,0
Soybean,Healthy,20.6,75,360,7.6,14,0,0
Cotton,Boll Rot,17.4,51,262,7.5,87,1,0
Potato,Healthy,29.0,94,182,6.5,24,0,0
Chilli,Leaf Curl,18.7,51,1,5.2,26,1,0
Groundnut,Tikka Disease,35.1,59,229,7.8,90,0,1
Soybean,Healthy,42.0,88,229,8.0,82,0,0
Tomato,Late Blight,44.9,82,236,7.3,33,1,1
Soybean,Bacterial Blight,21.5,57,192,6.0,37,1,0
Apple,Apple Scab,44.9,55,18,6.6,56,1,0
Groundnut,Healthy,29.6,51,278,5.6,60,0,0
Groundnut,Rust,43.4,50,340,7.7,69,1,1
Banana,Panama Disease,44.3,68,270,7.1,67,0,0
Sugarcane,Healthy,31.2,95,374,7.4,82,0,0
Cotton,Boll Rot,18.7,68,154,6.7,20,0,1
Maize,Leaf Blight,22.7,78,108,5.5,78,0,1
Apple,Fire Blight,30.2,65,379,7.2,24,1,1
Soybean,Bacterial Blight,24.7,74,306,6.0,15,1,1
Grapes,Healthy,25.0,60,300,7.3,48,0,0
Soybean,Rust,16.8,64,335,5.0,54,0,1
Cotton,Boll Rot,27.5,79,127,7.4,12,1,0
Potato,Late Blight,25.2,58,322,6.1,73,1,1
Banana,Healthy,42.0,63,372,5.8,33,0,0
Chilli,Healthy,21.8,43,381,6.0,59,1,0
Grapes,Healthy,19.7,37,21,5.9,30,0,0
Wheat,Healthy,36.6,89,55,6.9,15,0,0
Rice,Healthy,19.3,62,71,5.5,45,0,0
Cotton,Leaf Curl Virus,20.2,39,189,7.0,61,1,1
Potato,Late Blight,25.0,67,249,5.3,71,1,1
Sugarcane,Healthy,30.4,93,20,7.6,45,0,0
Mango,Healthy,33.4,30,180,7.6,10,0,0
Groundnut,Tikka Disease,30.7,47,333,5.7,64,1,0
Potato,Healthy,22.2,58,1,5.4,18,0,0
Chilli,Anthracnose,22.0,66,29,8.0,62,1,1
Wheat,Healthy,25.2,87,308,6.5,81,0,0
Potato,Healthy,22.8,35,238,5.6,84,1,1
Rice,Brown Spot,41.4,76,190,5.1,70,1,1
Sugarcane,Healthy,39.1,54,165,8.1,34,1,0
Chilli,Healthy,20.1,48,34,6.8,48,0,0
Soybean,Healthy,36.4,81,160,7.5,72,1,0
Tomato,Septoria Leaf Spot,35.3,48,194,5.6,83,0,0
Wheat,Rust,30.7,48,95,5.4,40,1,0
Chilli,Anthracnose,28.6,91,121,6.8,37,0,0
Wheat,Smut,39.2,33,152,5.5,41,1,1
Mango,Powdery Mildew,27.0,31,10,6.3,48,1,1
Potato,Healthy,18.9,83,284,6.9,45,0,0
Groundnut,Healthy,43.5,32,226,7.0,89,0,0
Banana,Panama Disease,25.1,35,115,8.0,12,1,1
Banana,Sigatoka,31.1,78,311,6.4,43,1,0
Rice,Bacterial Leaf Blight,33.8,91,337,7.2,70,0,0
Tomato,Early Blight,43.8,64,221,7.8,75,1,1
Soybean,Bacterial Blight,41.1,33,352,5.4,85,1,1
Soybean,Rust,27.1,63,252,5.6,62,1,1
Onion,Downy Mildew,37.0,80,319,6.1,71,1,0
Cotton,Leaf Curl Virus,31.5,77,319,7.8,67,1,1
Soybean,Bacterial Blight,15.4,70,98,7.1,64,1,1
Grapes,Healthy,31.3,32,23,8.1,80,0,0
Apple,Healthy,16.5,70,162,6.4,69,0,0
Mango,Powdery Mildew,19.9,66,131,7.2,21,1,1
Mango,Powdery Mildew,18.3,80,95,6.0,67,1,1
Mango,Healthy,25.3,39,335,7.0,43,0,0
Soybean,Rust,15.1,39,84,6.6,69,1,0
Cotton,Boll Rot,34.3,56,225,8.1,42,0,0
Apple,Fire Blight,36.2,69,236,7.9,47,1,0
Grapes,Downy Mildew,40.1,46,289,6.2,61,1,0
Cotton,Boll Rot,39.1,50,169,5.4,27,1,1
Potato,Late Blight,18.9,95,317,7.7,65,0,0
Soybean,Rust,21.8,41,399,6.3,68,1,0
Maize,Downy Mildew,22.8,64,372,6.5,88,1,1
Banana,Panama Disease,41.6,31,48,7.6,65,1,1
Cotton,Leaf Curl Virus,42.9,35,271,6.5,32,1,1
Rice,Blast,37.2,83,232,5.0,56,1,1
Potato,Healthy,22.1,31,227,7.9,26,1,0
Chilli,Anthracnose,27.9,38,211,6.5,52,1,1
Cotton,Leaf Curl Virus,43.3,43,186,5.5,69,1,1
Sugarcane,Healthy,40.9,34,63,7.0,76,0,0
Groundnut,Rust,26.6,41,379,4.8,26,1,1
Chilli,Leaf Curl,33.2,92,1,5.3,17,1,0
Rice,Blast,41.9,74,210,5.8,82,1,0
Potato,Late Blight,24.3,43,396,6.9,27,1,1
Chilli,Leaf Curl,21.3,65,309,7.1,89,1,1
Apple,Fire Blight,19.8,62,354,7.8,50,1,1
Tomato,Late Blight,19.1,42,180,7.2,11,1,1
Groundnut,Tikka Disease,29.5,67,103,5.5,71,1,0
Rice,Blast,28.4,91,195,8.1,54,0,1
Onion,Downy Mildew,31.0,87,192,5.2,64,0,0
Groundnut,Healthy,32.9,40,103,6.4,11,0,0
Tomato,Late Blight,30.4,76,191,6.6,44,1,1
Banana,Healthy,29.8,88,230,6.6,84,0,0
Cotton,Boll Rot,37.1,95,95,7.1,31,1,1
Maize,Leaf Blight,44.7,65,338,5.2,14,1,1
Soybean,Bacterial Blight,24.4,39,277,8.0,29,0,0
Onion,Purple Blotch,43.3,78,356,6.0,85,0,1
Onion,Purple Blotch,22.6,63,203,4.9,81,1,1
Rice,Blast,34.4,85,68,6.4,16,1,1
Apple,Fire Blight,15.8,83,391,4.9,40,0,1
Sugarcane,Healthy,21.0,83,119,8.0,48,0,0
Mango,Healthy,25.9,50,163,7.4,37,0,0
Soybean,Healthy,32.8,35,307,8.1,76,0,0
Cotton,Healthy,34.2,41,110,6.3,43,0,0
Grapes,Downy Mildew,26.4,85,351,7.9,46,1,1
Tomato,Late Blight,28.1,51,64,5.8,44,1,1
Cotton,Healthy,18.9,38,194,7.9,66,0,0
Maize,Healthy,16.5,79,283,6.5,44,0,0
Apple,Healthy,30.1,82,99,6.4,47,0,0
Groundnut,Tikka Disease,39.8,51,134,6.0,52,1,1
Maize,Healthy,31.0,64,81,7.5,83,0,0
Soybean,Rust,26.7,77,45,7.4,58,0,1
Rice,Blast,33.2,68,184,5.8,63,0,0
Soybean,Healthy,29.2,81,277,5.2,78,0,0
Groundnut,Tikka Disease,29.2,91,83,7.2,65,0,1
Apple,Fire Blight,37.2,73,131,5.7,57,1,0
Maize,Downy Mildew,44.2,47,151,6.5,80,1,0
Sugarcane,Smut,38.0,42,22,8.1,24,1,0
Grapes,Powdery Mildew,33.9,70,134,8.1,72,1,1
Sugarcane,Red Rot,30.9,94,125,5.7,73,1,1
Grapes,Downy Mildew,16.5,56,106,7.8,73,1,0
Sugarcane,Smut,24.6,47,45,7.3,46,1,0
Mango,Anthracnose,19.5,84,380,7.8,85,1,0
Groundnut,Rust,26.0,43,140,4.8,43,1,1
Wheat,Powdery Mildew,35.3,61,12,8.1,72,1,1
Soybean,Bacterial Blight,23.6,30,54,7.6,16,1,1
Grapes,Healthy,26.6,36,132,7.1,58,0,0
Tomato,Late Blight,23.2,68,177,6.4,29,1,1
Groundnut,Healthy,22.6,30,187,5.2,23,0,0
Potato,Early Blight,19.5,36,155,7.4,10,1,1
Cotton,Healthy,16.4,60,366,7.7,17,0,0
Grapes,Healthy,43.5,65,150,7.9,24,1,0
Banana,Sigatoka,24.5,61,355,8.2,49,1,1
Soybean,Bacterial Blight,44.7,40,37,7.5,42,0,1
Rice,Bacterial Leaf Blight,17.9,73,399,7.6,76,0,1
Banana,Panama Disease,29.6,40,154,6.6,26,1,0
Groundnut,Rust,34.9,89,174,8.1,31,1,1
Onion,Downy Mildew,18.6,84,93,4.8,40,1,0
Cotton,Healthy,33.6,62,83,6.3,14,0,0
Potato,Late Blight,35.3,48,312,6.3,59,0,1
Soybean,Healthy,16.6,82,353,7.6,29,0,1
Wheat,Rust,38.1,43,316,4.9,65,1,1
Mango,Healthy,21.7,93,393,7.4,38,0,0
Sugarcane,Smut,21.3,86,238,6.9,35,1,0
Groundnut,Rust,41.5,30,139,6.3,45,1,1
Onion,Healthy,42.9,38,147,6.7,34,0,0
Onion,Healthy,42.9,83,350,7.3,70,0,0
Mango,Powdery Mildew,41.5,73,369,6.2,21,1,0
Grapes,Healthy,26.1,35,283,6.4,51,0,0
Tomato,Late Blight,26.4,82,89,4.9,22,1,1
Grapes,Healthy,33.9,50,205,4.9,83,0,0
Groundnut,Healthy,19.2,38,45,5.2,67,0,0
Soybean,Rust,22.8,94,349,6.8,10,1,1
Soybean,Rust,17.8,54,353,7.9,56,1,1
Grapes,Downy Mildew,25.4,52,161,6.0,48,1,1
Maize,Leaf Blight,29.5,30,373,5.5,24,1,1
Grapes,Powdery Mildew,32.1,85,29,5.0,33,1,1
Banana,Sigatoka,44.7,36,75,6.8,57,1,0
Soybean,Rust,37.5,67,218,5.2,90,1,0
Banana,Panama Disease,36.9,81,259,5.4,52,1,0
Onion,Downy Mildew,32.2,71,366,5.9,75,1,1
Cotton,Boll Rot,33.1,88,11,5.2,36,1,1
Grapes,Downy Mildew,33.1,72,32,7.3,45,1,0
Apple,Apple Scab,31.5,88,0,8.1,44,1,1
Groundnut,Healthy,22.4,48,183,7.1,69,0,0
Sugarcane,Smut,34.7,78,263,8.1,38,1,0
Cotton,Leaf Curl Virus,41.8,79,168,7.3,50,1,1
Tomato,Early Blight,28.7,84,261,5.8,64,1,1
Tomato,Early Blight,17.2,60,81,7.0,32,1,1
Groundnut,Tikka Disease,42.0,32,302,4.8,62,1,0
Maize,Leaf Blight,24.9,42,148,4.8,89,0,0
